Symbol,Name,Country,IPO Year,Volume,Sector,Industry
ACXP,Acurx Pharmaceuticals Inc. Common Stock,United States,2021,40923,Health Care,Biotechnology: Pharmaceutical Preparations
ADAG,Adagene Inc. American Depositary Shares,China,2021,7555,Health Care,Biotechnology: Pharmaceutical Preparations
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,United Kingdom,2015,1090026,Health Care,Biotechnology: Pharmaceutical Preparations
ADBE,Adobe Inc. Common Stock,United States,1986,2575270,Technology,Computer Software: Prepackaged Software
ADC,Agree Realty Corporation Common Stock,United States,,937765,Real Estate,Real Estate Investment Trusts
ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,United States,,19527,,
ADCT,ADC Therapeutics SA Common Shares,,2020,837060,Health Care,Biotechnology: Pharmaceutical Preparations
ADD,Color Star Technology Co. Ltd. Class A Ordinary Shares,United States,,4856973,Consumer Discretionary,Engineering & Construction
ADEA,Adeia Inc. Common Stock,United States,2003,277747,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,United States,,2673787,Technology,Semiconductors
ADIL,Adial Pharmaceuticals Inc Common Stock,United States,2018,136054,Health Care,Biotechnology: Pharmaceutical Preparations
ADM,Archer-Daniels-Midland Company Common Stock,United States,,2875778,Consumer Staples,Packaged Foods
ADMA,ADMA Biologics Inc Common Stock,United States,,2622812,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADN,Advent Technologies Holdings Inc. Class A Common Stock,United States,2018,48380,Utilities,Power Generation
ADNT,Adient plc Ordinary Shares ,United States,2016,1031234,Consumer Discretionary,Auto Parts:O.E.M.
ADNWW,Advent Technologies Holdings Inc. Warrant,United States,2018,153927,Utilities,Power Generation
ADP,Automatic Data Processing Inc. Common Stock,United States,,1483500,Technology,EDP Services
ADPT,Adaptive Biotechnologies Corporation Common Stock,United States,2019,863980,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADRT,Ault Disruptive Technologies Corporation Common Stock,,2022,250,Finance,Blank Checks
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,Ireland,,47847,Consumer Discretionary,Industrial Specialties
ADSEW,ADS-TEC ENERGY PLC Warrant,Ireland,,9483,Consumer Discretionary,Industrial Specialties
ADSK,Autodesk Inc. Common Stock,United States,,1845428,Technology,Computer Software: Prepackaged Software
ADT,ADT Inc. Common Stock,United States,2018,3856043,Consumer Discretionary,Diversified Commercial Services
ADTH,AdTheorent Holding Company Inc. Common Stock,United States,2021,1515520,Technology,Computer Software: Programming Data Processing
ADTN,ADTRAN Holdings Inc. Common Stock,United States,1994,865248,Utilities,Telecommunications Equipment
ADTX,Aditxt Inc. Common Stock,United States,2020,26840,Health Care,Biotechnology: Pharmaceutical Preparations
ADUS,Addus HomeCare Corporation Common Stock,United States,2009,89941,Health Care,Medical/Nursing Services
ADV,Advantage Solutions Inc. Class A Common Stock,United States,2019,870755,Consumer Discretionary,Business Services
ADVM,Adverum Biotechnologies Inc. Common Stock,United States,2014,256041,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADX,Adams Diversified Equity Fund Inc.,United States,,242798,Finance,Investment Managers
ADXN,Addex Therapeutics Ltd American Depositary Shares,Switzerland,,9816,Health Care,Biotechnology: Pharmaceutical Preparations
AE,Adams Resources & Energy Inc. Common Stock,United States,1980,6943,Energy,Oil Refining/Marketing
AEAE,AltEnergy Acquisition Corp. Class A Common Stock,United States,2021,232,Finance,Blank Checks
AEAEW,AltEnergy Acquisition Corp. Warrant,United States,2021,106066,Finance,Blank Checks
AEE,Ameren Corporation Common Stock,United States,,1598798,Utilities,Power Generation
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,United States,,13783,Finance,Finance/Investors Services
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,United States,2019,56262,,
AEG,Aegon Ltd. New York Registry Shares,Netherlands,,4128577,Finance,Life Insurance
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,China,,13015,Industrials,Building Materials
AEHR,Aehr Test Systems Common Stock,United States,1997,508608,Industrials,Electrical Products
AEI,Alset Inc. Common Stock (TX),United States,2020,213962,Finance,Real Estate
AEIS,Advanced Energy Industries Inc. Common Stock,United States,1995,127840,Technology,Industrial Machinery/Components
AEM,Agnico Eagle Mines Limited Common Stock,Canada,,1439070,Basic Materials,Precious Metals
AEMD,Aethlon Medical Inc. Common Stock,United States,,545673,Miscellaneous,Diversified Commercial Services
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,United States,,18096,Consumer Discretionary,Durable Goods
AENTW,Alliance Entertainment Holding Corporation Warrants,United States,,24478,Consumer Discretionary,Durable Goods
AEO,American Eagle Outfitters Inc. Common Stock,United States,,6628263,Consumer Discretionary,Clothing/Shoe/Accessory Stores
AEON,AEON Biopharma Inc. Class A Common Stock,United States,,170701,Health Care,Biotechnology: Pharmaceutical Preparations
AEP,American Electric Power Company Inc. Common Stock,United States,,2648422,Utilities,Electric Utilities: Central
AER,AerCap Holdings N.V. Ordinary Shares,Netherlands,2006,1167249,Consumer Discretionary,Diversified Commercial Services
AERT,Aeries Technology Inc. Class A Ordinary Share,United States,2021,64540,Consumer Discretionary,Professional Services
AERTW,Aeries Technology Inc. Warrant,United States,2021,1,Consumer Discretionary,Professional Services
AES,The AES Corporation Common Stock,United States,,6978490,Utilities,Electric Utilities: Central
AESI,Atlas Energy Solutions Inc. Common Stock,United States,2023,1354234,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
AEVA,Aeva Technologies Inc. Common Stock,United States,2020,179051,Consumer Discretionary,Auto Parts:O.E.M.
AEYE,AudioEye Inc. Common Stock,United States,,256990,Technology,EDP Services
AEZS,Aeterna Zentaris Inc. Common Stock,Canada,,8444,Health Care,Biotechnology: Pharmaceutical Preparations
AFAR,Aura FAT Projects Acquisition Corp Class A Ordinary Shares,Singapore,2022,122,Finance,Blank Checks
AFB,AllianceBernstein National Municipal Income Fund Inc,United States,2002,60001,Finance,Trusts Except Educational Religious and Charitable
AFBI,Affinity Bancshares Inc. Common Stock (MD),United States,2017,4847,Finance,Banks
AFCG,AFC Gamma Inc. Common Stock,United States,2021,116883,Finance,Real Estate
AFG,American Financial Group Inc. Common Stock,United States,,178646,Finance,Property-Casualty Insurers
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,United States,2019,6455,Finance,Property-Casualty Insurers
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,United States,2019,6569,Finance,Property-Casualty Insurers
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,United States,2020,12105,,
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,United States,2020,1945,,
AFJK,Aimei Health Technology Co. Ltd Ordinary Share,United States,2024,167,,
AFL,AFLAC Incorporated Common Stock,United States,,2230927,Finance,Accident &Health Insurance
AFMD,Affimed N.V.,Germany,2014,92752,Health Care,Biotechnology: Pharmaceutical Preparations
AFRI,Forafric Global PLC Ordinary Shares,Gibraltar,,3137,Consumer Staples,Packaged Foods
AFRIW,Forafric Global PLC Warrants,Gibraltar,,210,Consumer Staples,Packaged Foods
AFRM,Affirm Holdings Inc. Class A Common Stock,United States,2021,3769116,Finance,Finance: Consumer Services
